specObjID,ra,dec,data['z'],zErr,velocity,distance_Mpc,distance_ly
1.07851E+19,148.62266,20.064154,1.994085,0.001304561,597810.7303,8540.15329,27840899726
1.2295E+19,249.6981,32.033555,1.993974,0.000438345,597777.4534,8539.677906,27839349973
9.46558E+18,232.61872,51.363752,1.99394,1.356982,597767.2605,8539.532293,27838875274
4.93841E+18,38.5506,-3.9623028,1.993694,0.001196871,597693.5116,8538.478738,27835440685
8.56153E+18,351.65149,21.315937,1.993595,0.001184593,597663.8322,8538.054746,27834058473
9.14589E+18,34.057784,-4.4749559,1.993493,0.00077522,597633.2535,8537.617907,27832634375
9.41272E+18,166.50674,44.708848,1.993452,0.001067993,597620.962,8537.442314,27832061944
9.6098E+18,256.60702,45.478929,1.99337,0.001190606,597596.379,8537.091129,27830917081
1.15811E+19,116.60133,27.396158,1.993306,0.497013,597577.1924,8536.817034,27830023530
1.08055E+19,138.00301,26.001692,1.992972,0.001370245,597477.0618,8535.386597,27825360308
1.25043E+19,130.16321,21.693494,1.992728,0.001267013,597403.9126,8534.341608,27821953643
8.54015E+18,338.91454,21.970809,1.992655,0.000249867,597382.0278,8534.028968,27820934436
9.95194E+18,198.63918,38.160851,1.992073,0.000877737,597207.5488,8531.536412,27812808702
1.05082E+19,19.400164,-2.9368685,1.991939,0.000810185,597167.3767,8530.962524,27810937829
1.05611E+19,40.998256,1.3961553,1.991831,0.000553733,597134.9992,8530.499988,27809429961
1.0802E+19,129.89654,21.425324,1.991717,0.000823255,597100.8229,8530.011755,27807838322
8.81711E+18,34.751447,0.57702721,1.991337,0.001058613,596986.9019,8528.384313,27802532860
9.43297E+18,200.10674,44.380104,1.991264,0.05957601,596965.0171,8528.071673,27801513653
9.59622E+18,226.87671,40.317408,1.991258,1.766035,596963.2183,8528.045976,27801429883
1.20956E+19,229.12575,36.579028,1.99121,0.00048117,596948.8283,8527.840405,27800759719
7.19245E+18,116.91473,46.714076,1.991141,0.000503046,596928.1427,8527.544895,27799796359
1.08257E+19,150.29,22.817628,1.991058,0.000374782,596903.2599,8527.189428,27798637534
1.29997E+19,359.23969,9.7939727,1.990201,0.001355698,596646.3382,8523.519117,27786672322
9.6075E+18,252.83853,43.188996,1.989877,0.000105816,596549.2056,8522.131508,27782148717
9.93281E+18,158.95526,38.892534,1.989854,0.01149205,596542.3104,8522.033005,27781827597
1.22848E+19,249.54592,34.315206,1.989842,0.3839916,596538.7129,8521.981612,27781660056
9.90018E+18,25.526115,0.36475737,1.989822,0.001449483,596532.717,8521.895957,27781380821
